city,date,hour,NDVI,.geo
Amritsar,2024-05-01,10:30,0.1010117231,"{""type"":""Point"",""coordinates"":[74.76069116658655,31.829538619446748]}"
Amritsar,2024-05-01,10:30,0.1473794236,"{""type"":""Point"",""coordinates"":[74.76409286578178,31.8173093113943]}"
Amritsar,2024-05-01,10:30,0.1664489914,"{""type"":""Point"",""coordinates"":[74.76475454240814,31.61885196146697]}"
Amritsar,2024-05-01,10:30,0.1117824773,"{""type"":""Point"",""coordinates"":[74.7671556128857,31.7684810177213]}"
Amritsar,2024-05-01,10:30,0.1285974499,"{""type"":""Point"",""coordinates"":[74.76923422959946,31.85096287004096]}"
Amritsar,2024-05-01,10:30,-0.02441209406,"{""type"":""Point"",""coordinates"":[74.76995174334763,31.94145092445375]}"
Amritsar,2024-05-01,10:30,0.2775457758,"{""type"":""Point"",""coordinates"":[74.77115998174686,31.584077163495177]}"
Amritsar,2024-05-01,10:30,0.0903484428,"{""type"":""Point"",""coordinates"":[74.77123737098589,31.742188636898973]}"
Amritsar,2024-05-01,10:30,0.155128853,"{""type"":""Point"",""coordinates"":[74.77193881148538,31.66213229176018]}"
Amritsar,2024-05-01,10:30,0.131379259,"{""type"":""Point"",""coordinates"":[74.77215226264072,31.77545936295339]}"
Amritsar,2024-05-01,10:30,0.4681493249,"{""type"":""Point"",""coordinates"":[74.77299991748242,31.58374062037869]}"
Amritsar,2024-05-01,10:30,0.127486594,"{""type"":""Point"",""coordinates"":[74.77318943037326,31.84572476537477]}"
Amritsar,2024-05-01,10:30,0.2304232263,"{""type"":""Point"",""coordinates"":[74.77388602016299,31.62992021792984]}"
Amritsar,2024-05-01,10:30,0.3218483336,"{""type"":""Point"",""coordinates"":[74.77597689913561,31.66697165445931]}"
Amritsar,2024-05-01,10:30,0.1276517922,"{""type"":""Point"",""coordinates"":[74.77691123590829,31.891986374778725]}"
Amritsar,2024-05-01,10:30,0.1934640523,"{""type"":""Point"",""coordinates"":[74.77742291197848,31.824606072991465]}"
Amritsar,2024-05-01,10:30,0.1189701095,"{""type"":""Point"",""coordinates"":[74.77840281357032,31.768215802907363]}"
Amritsar,2024-05-01,10:30,0.4534617148,"{""type"":""Point"",""coordinates"":[74.77911304934995,31.851016196788006]}"
Amritsar,2024-05-01,10:30,0.1353767561,"{""type"":""Point"",""coordinates"":[74.77942981565958,31.66587261071087]}"
Amritsar,2024-05-01,10:30,0.115285806,"{""type"":""Point"",""coordinates"":[74.77961217743676,31.739982489381976]}"
Amritsar,2024-05-01,10:30,0.2089454783,"{""type"":""Point"",""coordinates"":[74.78045434177145,31.895887253101808]}"
