City,Districts,Date,Latitude,Longitude,Key,DHI,DNI,GHI,RELATIVE_HUMIDITY,WIND_SPEED_10m,NDVI
Amritsar,Amritsar I Tahsil,2024-05-13,31.5740862,74.60900359,31.57408620-74.60900359,100.2916667,284.1666667,316.875,41.22083333,2.545833333,0.1032411819
Amritsar,Amritsar I Tahsil,2024-05-14,31.5740862,74.60900359,31.57408620-74.60900359,94.91666667,302.4166667,323.7083333,37.68333333,2.525,0.1032411819
Amritsar,Amritsar I Tahsil,2024-05-15,31.5740862,74.60900359,31.57408620-74.60900359,108.5,260.375,308.875,36.53333333,1.491666667,0.1032411819
Amritsar,Amritsar I Tahsil,2024-05-16,31.5740862,74.60900359,31.57408620-74.60900359,126.25,208.9166667,293.5416667,34.65,2.2375,0.09996895374
Amritsar,Amritsar I Tahsil,2024-05-17,31.5740862,74.60900359,31.57408620-74.60900359,112.5833333,239.4166667,301.8333333,33.025,2.304166667,0.09996895374
Amritsar,Amritsar I Tahsil,2024-05-18,31.5740862,74.60900359,31.57408620-74.60900359,107.2916667,260.75,308.5,32.07916667,3.05,0.09996895374
Amritsar,Amritsar I Tahsil,2024-05-19,31.5740862,74.60900359,31.57408620-74.60900359,96.54166667,273.9583333,311.4583333,33.59583333,2.25,0.09996895374
Amritsar,Amritsar I Tahsil,2024-05-20,31.5740862,74.60900359,31.57408620-74.60900359,100.2916667,271.2083333,314.9166667,30.36666667,2.066666667,0.09996895374
Amritsar,Amritsar I Tahsil,2024-05-21,31.5740862,74.60900359,31.57408620-74.60900359,116.7083333,239.125,303.875,30.3875,1.991666667,0.03436714166
Amritsar,Amritsar I Tahsil,2024-05-22,31.5740862,74.60900359,31.57408620-74.60900359,107.5833333,263.1666667,313.9583333,36.2625,1.645833333,0.03436714166
Amritsar,Amritsar I Tahsil,2024-05-23,31.5740862,74.60900359,31.57408620-74.60900359,142.25,158.9166667,275.0833333,45.73333333,2.283333333,0.03436714166
Amritsar,Amritsar I Tahsil,2024-05-24,31.5740862,74.60900359,31.57408620-74.60900359,156.1666667,118.5833333,254.5,46.68333333,2.1,0.03436714166
Amritsar,Amritsar I Tahsil,2024-05-25,31.5740862,74.60900359,31.57408620-74.60900359,118.5833333,236.7916667,302.6666667,37.1,3.083333333,0.03436714166
Amritsar,Amritsar I Tahsil,2024-05-26,31.5740862,74.60900359,31.57408620-74.60900359,101.25,283.5833333,319.875,35.85416667,2.308333333,0.07106931992
Amritsar,Amritsar I Tahsil,2024-05-27,31.5740862,74.60900359,31.57408620-74.60900359,87.375,335.0416667,337.2083333,30.69166667,2.454166667,0.07106931992
Amritsar,Amritsar I Tahsil,2024-05-28,31.5740862,74.60900359,31.57408620-74.60900359,89.08333333,336.0416667,339.9166667,26.72916667,2.3,0.07106931992
Amritsar,Amritsar I Tahsil,2024-05-29,31.5740862,74.60900359,31.57408620-74.60900359,114.0416667,241.7916667,308.75,27.60833333,1.866666667,0.07106931992
Amritsar,Amritsar I Tahsil,2024-05-30,31.5740862,74.60900359,31.57408620-74.60900359,116.4583333,236.1666667,307.1666667,27.64583333,1.804166667,0.07106931992
Amritsar,Amritsar I Tahsil,2024-05-31,31.5740862,74.60900359,31.57408620-74.60900359,132.4166667,214,304.8333333,26.32083333,2.541666667,0.05661059866
Amritsar,Amritsar I Tahsil,2024-05-01,31.57416403,74.70843082,31.57416403-74.70843082,100.7826087,289.2173913,319.173913,48.17826087,2.604347826,0.1169924812
Amritsar,Amritsar I Tahsil,2024-05-02,31.57416403,74.70843082,31.57416403-74.70843082,95.04166667,275.2916667,312.2916667,41.85,2.708333333,0.1169924812
Amritsar,Amritsar I Tahsil,2024-05-03,31.57416403,74.70843082,31.57416403-74.70843082,156.5833333,22.5,173.4166667,40.43333333,2.0125,0.1169924812
Amritsar,Amritsar I Tahsil,2024-05-04,31.57416403,74.70843082,31.57416403-74.70843082,125.0416667,204.25,281.7083333,35.44583333,3.216666667,0.1169924812
Amritsar,Amritsar I Tahsil,2024-05-05,31.57416403,74.70843082,31.57416403-74.70843082,97.83333333,256.5416667,301.3333333,40.8625,3.133333333,0.1169924812
Amritsar,Amritsar I Tahsil,2024-05-06,31.57416403,74.70843082,31.57416403-74.70843082,83.70833333,311.875,317.5833333,37.7625,2.354166667,0.1088214538
Amritsar,Amritsar I Tahsil,2024-05-07,31.57416403,74.70843082,31.57416403-74.70843082,68.08333333,358.5,330.5833333,34.9625,1.9375,0.1088214538
Amritsar,Amritsar I Tahsil,2024-05-08,31.57416403,74.70843082,31.57416403-74.70843082,89.16666667,312.375,320.625,36.77916667,2.091666667,0.1088214538
Amritsar,Amritsar I Tahsil,2024-05-09,31.57416403,74.70843082,31.57416403-74.70843082,125.375,204.2916667,284.625,48.02916667,2.891666667,0.1088214538
Amritsar,Amritsar I Tahsil,2024-05-10,31.57416403,74.70843082,31.57416403-74.70843082,147.75,117.0416667,245.125,51.25833333,2.404166667,0.1088214538
Amritsar,Amritsar I Tahsil,2024-05-11,31.57416403,74.70843082,31.57416403-74.70843082,127.625,125.9166667,223.4583333,49.12916667,2.141666667,0.08572981312
Amritsar,Amritsar I Tahsil,2024-05-12,31.57416403,74.70843082,31.57416403-74.70843082,149.125,77.83333333,210.2916667,54.69583333,2.8,0.08572981312
Amritsar,Amritsar I Tahsil,2024-05-13,31.57416403,74.70843082,31.57416403-74.70843082,100.9166667,283.3333333,316.7916667,40.75,2.520833333,0.08572981312
Amritsar,Amritsar I Tahsil,2024-05-14,31.57416403,74.70843082,31.57416403-74.70843082,94.625,304.0833333,324.2916667,36.71666667,2.441666667,0.08572981312
Amritsar,Amritsar I Tahsil,2024-05-15,31.57416403,74.70843082,31.57416403-74.70843082,108.2083333,262.8333333,309.5833333,35.35,1.516666667,0.08572981312
Amritsar,Amritsar I Tahsil,2024-05-16,31.57416403,74.70843082,31.57416403-74.70843082,126.4583333,209.875,293.7083333,34.25416667,2.2875,0.06263817244
Amritsar,Amritsar I Tahsil,2024-05-17,31.57416403,74.70843082,31.57416403-74.70843082,111.7916667,241.0833333,302.4583333,33.2875,2.304166667,0.06263817244
Amritsar,Amritsar I Tahsil,2024-05-18,31.57416403,74.70843082,31.57416403-74.70843082,107.2083333,260.4583333,308.4583333,31.87916667,3.045833333,0.06263817244
Amritsar,Amritsar I Tahsil,2024-05-19,31.57416403,74.70843082,31.57416403-74.70843082,93,280.5,314,33.11666667,2.191666667,0.06263817244
Amritsar,Amritsar I Tahsil,2024-05-20,31.57416403,74.70843082,31.57416403-74.70843082,100.875,270.125,315.375,30.47083333,1.925,0.06263817244
Amritsar,Amritsar I Tahsil,2024-05-21,31.57416403,74.70843082,31.57416403-74.70843082,117.3333333,237.3333333,303.25,30.13333333,1.895833333,0.05658453696
Amritsar,Amritsar I Tahsil,2024-05-22,31.57416403,74.70843082,31.57416403-74.70843082,110,254.625,311.5833333,37.3875,1.704166667,0.05658453696
Amritsar,Amritsar I Tahsil,2024-05-23,31.57416403,74.70843082,31.57416403-74.70843082,142.375,157,273.375,46.49166667,2.375,0.05658453696
Amritsar,Amritsar I Tahsil,2024-05-24,31.57416403,74.70843082,31.57416403-74.70843082,156.75,115.7916667,252.75,47.30416667,2.195833333,0.05658453696
Amritsar,Amritsar I Tahsil,2024-05-25,31.57416403,74.70843082,31.57416403-74.70843082,115.2083333,245.0416667,305.4583333,36.32916667,3.058333333,0.05658453696
Amritsar,Amritsar I Tahsil,2024-05-26,31.57416403,74.70843082,31.57416403-74.70843082,100.0833333,286.8333333,320.7083333,34.95,2.325,0.06082638766
Amritsar,Amritsar I Tahsil,2024-05-27,31.57416403,74.70843082,31.57416403-74.70843082,87.83333333,334.5,336.9583333,29.57916667,2.466666667,0.06082638766
Amritsar,Amritsar I Tahsil,2024-05-28,31.57416403,74.70843082,31.57416403-74.70843082,88.58333333,335.9166667,339.9166667,26.47916667,2.266666667,0.06082638766
Amritsar,Amritsar I Tahsil,2024-05-29,31.57416403,74.70843082,31.57416403-74.70843082,122.6666667,210.5416667,294.1666667,27.17916667,1.941666667,0.06082638766
Amritsar,Amritsar I Tahsil,2024-05-30,31.57416403,74.70843082,31.57416403-74.70843082,116.2916667,239.8333333,310.9166667,27.59583333,1.808333333,0.06082638766
Amritsar,Amritsar I Tahsil,2024-05-31,31.57416403,74.70843082,31.57416403-74.70843082,130.75,217.1666667,305.625,26.6875,2.4625,0.07161716172
Amritsar,Amritsar I Tahsil,2024-05-01,31.57670644,74.74284798,31.57670644-74.74284798,101.6086957,287.6956522,318.6521739,48.29565217,2.560869565,0.2676179383
Amritsar,Amritsar I Tahsil,2024-05-02,31.57670644,74.74284798,31.57670644-74.74284798,94.625,277.0833333,312.625,41.94166667,2.704166667,0.2676179383
Amritsar,Amritsar I Tahsil,2024-05-03,31.57670644,74.74284798,31.57670644-74.74284798,159.375,19,173.3333333,40.39166667,2.0375,0.2676179383
Amritsar,Amritsar I Tahsil,2024-05-04,31.57670644,74.74284798,31.57670644-74.74284798,128.2916667,199.1666667,279.5833333,35.5,3.179166667,0.2676179383
