Coordinate,Date,Hour,NDVI Values,City
"(74.56135282332146, 31.748416159589134)",2024-05-16,10:30,0.1083271923,Amritsar
"(74.56135282332146, 31.748416159589134)",2024-05-21,10:30,0.06626506024,Amritsar
"(74.56135282332146, 31.748416159589134)",2024-05-26,10:30,0.06933473758,Amritsar
"(74.56135282332146, 31.748416159589134)",2024-05-31,10:30,0.0800156128,Amritsar
"(74.56178425309781, 31.647068491480315)",2024-05-01,10:30,0.1105933945,Amritsar
"(74.56178425309781, 31.647068491480315)",2024-05-06,10:30,0.1030841901,Amritsar
"(74.56178425309781, 31.647068491480315)",2024-05-11,10:30,0.1070608883,Amritsar
"(74.56178425309781, 31.647068491480315)",2024-05-16,10:30,0.06602059358,Amritsar
"(74.56178425309781, 31.647068491480315)",2024-05-21,10:30,0.08324596351,Amritsar
"(74.56178425309781, 31.647068491480315)",2024-05-26,10:30,0.07257637295,Amritsar
"(74.56178425309781, 31.647068491480315)",2024-05-31,10:30,0.0703870387,Amritsar
"(74.56490212438396, 31.73211203528287)",2024-05-01,10:30,0.1047271622,Amritsar
"(74.56490212438396, 31.73211203528287)",2024-05-06,10:30,0.09684684685,Amritsar
"(74.56490212438396, 31.73211203528287)",2024-05-11,10:30,0.07899612599,Amritsar
"(74.56490212438396, 31.73211203528287)",2024-05-16,10:30,0.07569996543,Amritsar
"(74.56490212438396, 31.73211203528287)",2024-05-21,10:30,0.08349026993,Amritsar
"(74.56490212438396, 31.73211203528287)",2024-05-26,10:30,0.1052631579,Amritsar
"(74.56490212438396, 31.73211203528287)",2024-05-31,10:30,0.1338635979,Amritsar
"(74.56786628476, 31.76313086051095)",2024-05-01,10:30,0.1191044776,Amritsar
"(74.56786628476, 31.76313086051095)",2024-05-06,10:30,0.107725454,Amritsar
"(74.56786628476, 31.76313086051095)",2024-05-11,10:30,0.1035075161,Amritsar
"(74.56786628476, 31.76313086051095)",2024-05-16,10:30,0.03848691445,Amritsar
"(74.56786628476, 31.76313086051095)",2024-05-21,10:30,0.04682967261,Amritsar
"(74.56786628476, 31.76313086051095)",2024-05-26,10:30,0.04744154524,Amritsar
"(74.56786628476, 31.76313086051095)",2024-05-31,10:30,0.05119453925,Amritsar
"(74.5708101519865, 31.6986416786873)",2024-05-01,10:30,0.1306488992,Amritsar
"(74.5708101519865, 31.6986416786873)",2024-05-06,10:30,0.1201083277,Amritsar
"(74.5708101519865, 31.6986416786873)",2024-05-11,10:30,0.118945032,Amritsar
"(74.5708101519865, 31.6986416786873)",2024-05-16,10:30,0.105361596,Amritsar
"(74.5708101519865, 31.6986416786873)",2024-05-21,10:30,0.06772139687,Amritsar
"(74.5708101519865, 31.6986416786873)",2024-05-26,10:30,0.05227952825,Amritsar
"(74.5708101519865, 31.6986416786873)",2024-05-31,10:30,0.05629370629,Amritsar
"(74.57182017896366, 31.731994371931357)",2024-05-01,10:30,0.2356801909,Amritsar
"(74.57182017896366, 31.731994371931357)",2024-05-06,10:30,0.1957029426,Amritsar
"(74.57182017896366, 31.731994371931357)",2024-05-11,10:30,0.1572148708,Amritsar
"(74.57182017896366, 31.731994371931357)",2024-05-16,10:30,0.1048898843,Amritsar
"(74.57182017896366, 31.731994371931357)",2024-05-21,10:30,0.1093984962,Amritsar
"(74.57182017896366, 31.731994371931357)",2024-05-26,10:30,0.1189927292,Amritsar
"(74.57182017896366, 31.731994371931357)",2024-05-31,10:30,0.1294238331,Amritsar
"(74.57916443237421, 31.681782459890343)",2024-05-01,10:30,0.2290076336,Amritsar
"(74.57916443237421, 31.681782459890343)",2024-05-06,10:30,0.1800296956,Amritsar
"(74.57916443237421, 31.681782459890343)",2024-05-11,10:30,0.1769676107,Amritsar
"(74.57916443237421, 31.681782459890343)",2024-05-16,10:30,0.1377559951,Amritsar
"(74.57916443237421, 31.681782459890343)",2024-05-21,10:30,0.1352605282,Amritsar
"(74.57916443237421, 31.681782459890343)",2024-05-26,10:30,0.1363781539,Amritsar
"(74.57916443237421, 31.681782459890343)",2024-05-31,10:30,0.1438206036,Amritsar
"(74.58488590628811, 31.61230719868053)",2024-05-01,10:30,0.1075163784,Amritsar
"(74.58488590628811, 31.61230719868053)",2024-05-06,10:30,0.10183925173,Amritsar
"(74.58488590628811, 31.61230719868053)",2024-05-11,10:30,0.08931359453,Amritsar
"(74.58488590628811, 31.61230719868053)",2024-05-16,10:30,0.03504112784,Amritsar
"(74.58488590628811, 31.61230719868053)",2024-05-21,10:30,0.044886785624999995,Amritsar
"(74.58488590628811, 31.61230719868053)",2024-05-26,10:30,0.053336793205,Amritsar
"(74.58488590628811, 31.61230719868053)",2024-05-31,10:30,0.052267035815,Amritsar
"(74.58696263030014, 31.718644355535144)",2024-05-01,10:30,0.1775472849,Amritsar
"(74.58696263030014, 31.718644355535144)",2024-05-06,10:30,0.1375080697,Amritsar
"(74.58696263030014, 31.718644355535144)",2024-05-11,10:30,0.1409163174,Amritsar
